Problem type:
least_squares
nparams:
24
function_evaluation,seconds,x(0),x(1),x(2),x(3),x(4),x(5),x(6),x(7),x(8),x(9),x(10),x(11),x(12),x(13),x(14),x(15),x(16),x(17),x(18),x(19),x(20),x(21),x(22),x(23),objective_function
     0,  1.8434e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0000000000000001e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0699999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.3452855176177032e+00
     1,  3.7038e+00,  1.5000001490116119e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0000000000000001e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0699999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.3452855126571492e+00
     2,  5.5529e+00,  1.4999999999999999e-01,  1.4901161193847656e-08,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0000000000000001e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0699999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.3452855200505449e+00
     3,  7.4388e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  1.4901161193847656e-08,  0.0000000000000000e+00,  2.0000000000000001e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0699999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.3452855126950880e+00
     4,  9.4252e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.4901161193847656e-08,  2.0000000000000001e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0699999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.3452854605378912e+00
     5,  1.1353e+01,  1.4999999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0000001490116120e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0699999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.3452859150779488e+00
     6,  1.3251e+01,  1.4999999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0000000000000001e-01,  1.4901161193847656e-08,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0699999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.3452854586881713e+00
     7,  1.5045e+01,  1.4999999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0000000000000001e-01,  0.0000000000000000e+00,  1.4901161193847656e-08,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0699999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.3452855177284029e+00
     8,  1.6814e+01,  1.4999999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0000000000000001e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.4901161193847656e-08,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0699999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.3452855209922656e+00
     9,  1.8910e+01,  1.4999999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0000000000000001e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.4901161193847656e-08,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0699999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.3452855123399647e+00
