Problem type:
least_squares
nparams:
8
function_evaluation,seconds,x(0),x(1),x(2),x(3),x(4),x(5),x(6),x(7),objective_function
     0,  1.7760e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  2.0000000000000001e-01,  0.0000000000000000e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  2.0699999999999999e-01,  0.0000000000000000e+00,  1.3700911078013966e+00
     1,  3.5483e+00,  1.5000001490116119e-01,  0.0000000000000000e+00,  2.0000000000000001e-01,  0.0000000000000000e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  2.0699999999999999e-01,  0.0000000000000000e+00,  1.3700911029130414e+00
     2,  5.4069e+00,  1.4999999999999999e-01,  1.4901161193847656e-08,  2.0000000000000001e-01,  0.0000000000000000e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  2.0699999999999999e-01,  0.0000000000000000e+00,  1.3700910507427604e+00
     3,  7.1475e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  2.0000001490116120e-01,  0.0000000000000000e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  2.0699999999999999e-01,  0.0000000000000000e+00,  1.3700915054708735e+00
     4,  8.8738e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  2.0000000000000001e-01,  1.4901161193847656e-08,  1.4999999999999999e-01,  0.0000000000000000e+00,  2.0699999999999999e-01,  0.0000000000000000e+00,  1.3700910483771953e+00
     5,  1.0627e+01,  1.4999999999999999e-01,  0.0000000000000000e+00,  2.0000000000000001e-01,  0.0000000000000000e+00,  1.5000001490116119e-01,  0.0000000000000000e+00,  2.0699999999999999e-01,  0.0000000000000000e+00,  1.3700911029636937e+00
     6,  1.2416e+01,  1.4999999999999999e-01,  0.0000000000000000e+00,  2.0000000000000001e-01,  0.0000000000000000e+00,  1.4999999999999999e-01,  1.4901161193847656e-08,  2.0699999999999999e-01,  0.0000000000000000e+00,  1.3700910487655487e+00
     7,  1.4208e+01,  1.4999999999999999e-01,  0.0000000000000000e+00,  2.0000000000000001e-01,  0.0000000000000000e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  2.0700001490116118e-01,  0.0000000000000000e+00,  1.3700914929562518e+00
     8,  1.5989e+01,  1.4999999999999999e-01,  0.0000000000000000e+00,  2.0000000000000001e-01,  0.0000000000000000e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  2.0699999999999999e-01,  1.4901161193847656e-08,  1.3700910510512445e+00
     9,  2.2511e+01,  3.7662328188162575e-01, -1.0532027618420065e-01,  1.4667540171892735e-01,  1.1660655201630838e-02,  3.7759606698207271e-01,  9.2648370105651495e-02,  1.6686055930507387e-01, -2.0595605936033847e-02,  3.2151073635307226e+00
    10,  2.4262e+01,  1.9169062029041767e-01, -1.6864620829669403e-02,  1.5791715724085825e-01,  1.7308389673629185e-03,  1.9127452497548153e-01,  1.4545336931899189e-02,  1.5938493720417399e-01, -3.4249587421646636e-03,  2.4024066113789949e-01
    11,  2.6037e+01,  1.9169063519157886e-01, -1.6864620829669403e-02,  1.5791715724085825e-01,  1.7308389673629185e-03,  1.9127452497548153e-01,  1.4545336931899189e-02,  1.5938493720417399e-01, -3.4249587421646636e-03,  2.4024065456742283e-01
    12,  2.7861e+01,  1.9169062029041767e-01, -1.6864635730830597e-02,  1.5791715724085825e-01,  1.7308389673629185e-03,  1.9127452497548153e-01,  1.4545336931899189e-02,  1.5938493720417399e-01, -3.4249587421646636e-03,  2.4024062852748754e-01
    13,  2.9705e+01,  1.9169062029041767e-01, -1.6864620829669403e-02,  1.5791717214201945e-01,  1.7308389673629185e-03,  1.9127452497548153e-01,  1.4545336931899189e-02,  1.5938493720417399e-01, -3.4249587421646636e-03,  2.4024047253085357e-01
    14,  3.1447e+01,  1.9169062029041767e-01, -1.6864620829669403e-02,  1.5791715724085825e-01,  1.7308538685241123e-03,  1.9127452497548153e-01,  1.4545336931899189e-02,  1.5938493720417399e-01, -3.4249587421646636e-03,  2.4024070452069474e-01
    15,  3.3287e+01,  1.9169062029041767e-01, -1.6864620829669403e-02,  1.5791715724085825e-01,  1.7308389673629185e-03,  1.9127453987664272e-01,  1.4545336931899189e-02,  1.5938493720417399e-01, -3.4249587421646636e-03,  2.4024065509423709e-01
    16,  3.5168e+01,  1.9169062029041767e-01, -1.6864620829669403e-02,  1.5791715724085825e-01,  1.7308389673629185e-03,  1.9127452497548153e-01,  1.4545351833060383e-02,  1.5938493720417399e-01, -3.4249587421646636e-03,  2.4024070306826245e-01
    17,  3.6964e+01,  1.9169062029041767e-01, -1.6864620829669403e-02,  1.5791715724085825e-01,  1.7308389673629185e-03,  1.9127452497548153e-01,  1.4545336931899189e-02,  1.5938495210533518e-01, -3.4249587421646636e-03,  2.4024047249270652e-01
    18,  3.8786e+01,  1.9169062029041767e-01, -1.6864620829669403e-02,  1.5791715724085825e-01,  1.7308389673629185e-03,  1.9127452497548153e-01,  1.4545336931899189e-02,  1.5938493720417399e-01, -3.4249736433258574e-03,  2.4024062935727955e-01
    19,  4.3358e+01,  2.2461224871898861e-01, -1.3728415468424818e-01,  1.8563186545031493e-01, -1.1507151987302627e-02,  2.3111208550737941e-01,  1.3126834230434109e-01,  1.6923503711633028e-01,  7.7949838431938794e-03,  7.5197964716524197e+00
    20,  4.4695e+01,  2.0322838898998286e-01, -4.3551364586942864e-02,  1.7214546961945559e-01, -4.6174467520170952e-03,  2.0318616129985562e-01,  4.1354531533445232e-02,  1.6522473392595577e-01,  4.3112742021320354e-04,  8.0729865872311901e-02
    21,  4.6023e+01,  2.0322840389114405e-01, -4.3551364586942864e-02,  1.7214546961945559e-01, -4.6174467520170952e-03,  2.0318616129985562e-01,  4.1354531533445232e-02,  1.6522473392595577e-01,  4.3112742021320354e-04,  8.0729862024867288e-02
    22,  4.7330e+01,  2.0322838898998286e-01, -4.3551379488104058e-02,  1.7214546961945559e-01, -4.6174467520170952e-03,  2.0318616129985562e-01,  4.1354531533445232e-02,  1.6522473392595577e-01,  4.3112742021320354e-04,  8.0729850881526732e-02
    23,  4.8763e+01,  2.0322838898998286e-01, -4.3551364586942864e-02,  1.7214548452061679e-01, -4.6174467520170952e-03,  2.0318616129985562e-01,  4.1354531533445232e-02,  1.6522473392595577e-01,  4.3112742021320354e-04,  8.0729810565464646e-02
    24,  5.0220e+01,  2.0322838898998286e-01, -4.3551364586942864e-02,  1.7214546961945559e-01, -4.6174616531782890e-03,  2.0318616129985562e-01,  4.1354531533445232e-02,  1.6522473392595577e-01,  4.3112742021320354e-04,  8.0729855228768077e-02
    25,  5.1678e+01,  2.0322838898998286e-01, -4.3551364586942864e-02,  1.7214546961945559e-01, -4.6174467520170952e-03,  2.0318617620101681e-01,  4.1354531533445232e-02,  1.6522473392595577e-01,  4.3112742021320354e-04,  8.0729861831122934e-02
    26,  5.3016e+01,  2.0322838898998286e-01, -4.3551364586942864e-02,  1.7214546961945559e-01, -4.6174467520170952e-03,  2.0318616129985562e-01,  4.1354546434606426e-02,  1.6522473392595577e-01,  4.3112742021320354e-04,  8.0729874436374319e-02
    27,  5.4372e+01,  2.0322838898998286e-01, -4.3551364586942864e-02,  1.7214546961945559e-01, -4.6174467520170952e-03,  2.0318616129985562e-01,  4.1354531533445232e-02,  1.6522474882711696e-01,  4.3112742021320354e-04,  8.0729806507756838e-02
    28,  5.5965e+01,  2.0322838898998286e-01, -4.3551364586942864e-02,  1.7214546961945559e-01, -4.6174467520170952e-03,  2.0318616129985562e-01,  4.1354531533445232e-02,  1.6522473392595577e-01,  4.3114232137439739e-04,  8.0729882348082288e-02
    29,  5.7915e+01,  1.7887126682516216e-01, -1.0445203149021978e-01,  1.9016292070170221e-01,  5.9773033704303719e-03,  1.9253068002968318e-01,  9.4734546307646744e-02,  1.8156571254390921e-01, -4.2091049382451057e-03,  1.3353861861980423e-01
