Problem type:
least_squares
nparams:
8
function_evaluation,seconds,x(0),x(1),x(2),x(3),x(4),x(5),x(6),x(7),objective_function
     0,  1.7750e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  2.0000000000000001e-01,  0.0000000000000000e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  2.0699999999999999e-01,  0.0000000000000000e+00,  1.3661282491297364e+00
     1,  3.5964e+00,  1.5000001490116119e-01,  0.0000000000000000e+00,  2.0000000000000001e-01,  0.0000000000000000e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  2.0699999999999999e-01,  0.0000000000000000e+00,  1.3661282438360129e+00
     2,  5.4063e+00,  1.4999999999999999e-01,  1.4901161193847656e-08,  2.0000000000000001e-01,  0.0000000000000000e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  2.0699999999999999e-01,  0.0000000000000000e+00,  1.3661281921314301e+00
     3,  7.1909e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  2.0000001490116120e-01,  0.0000000000000000e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  2.0699999999999999e-01,  0.0000000000000000e+00,  1.3661286465812019e+00
     4,  9.3837e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  2.0000000000000001e-01,  1.4901161193847656e-08,  1.4999999999999999e-01,  0.0000000000000000e+00,  2.0699999999999999e-01,  0.0000000000000000e+00,  1.3661281901958455e+00
     5,  1.1979e+01,  1.4999999999999999e-01,  0.0000000000000000e+00,  2.0000000000000001e-01,  0.0000000000000000e+00,  1.5000001490116119e-01,  0.0000000000000000e+00,  2.0699999999999999e-01,  0.0000000000000000e+00,  1.3661282439491247e+00
     6,  1.4116e+01,  1.4999999999999999e-01,  0.0000000000000000e+00,  2.0000000000000001e-01,  0.0000000000000000e+00,  1.4999999999999999e-01,  1.4901161193847656e-08,  2.0699999999999999e-01,  0.0000000000000000e+00,  1.3661281909158216e+00
     7,  1.6283e+01,  1.4999999999999999e-01,  0.0000000000000000e+00,  2.0000000000000001e-01,  0.0000000000000000e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  2.0700001490116118e-01,  0.0000000000000000e+00,  1.3661286339421366e+00
     8,  1.8295e+01,  1.4999999999999999e-01,  0.0000000000000000e+00,  2.0000000000000001e-01,  0.0000000000000000e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  2.0699999999999999e-01,  1.4901161193847656e-08,  1.3661281927897919e+00
     9,  2.2032e+01,  3.7398771337679604e-01, -1.0301785873079772e-01,  1.6615393561876385e-01,  7.1243993961093727e-03,  3.8047335209750610e-01,  9.5921651870244526e-02,  1.4843880910325236e-01, -1.1007701580204355e-02,  5.0938932137676192e+00
    10,  2.3948e+01,  1.9301217837451318e-01, -1.3863387319998411e-02,  1.5773671095881323e-01,  1.7461127167138588e-03,  1.9221739397353690e-01,  1.2241006332641030e-02,  1.5989720907428895e-01, -2.8746287329957528e-03,  2.3356686570195376e-01
    11,  2.5892e+01,  1.9301219327567437e-01, -1.3863387319998411e-02,  1.5773671095881323e-01,  1.7461127167138588e-03,  1.9221739397353690e-01,  1.2241006332641030e-02,  1.5989720907428895e-01, -2.8746287329957528e-03,  2.3356685897749416e-01
