Problem type:
least_squares
nparams:
8
function_evaluation,seconds,x(0),x(1),x(2),x(3),x(4),x(5),x(6),x(7),objective_function
     0,  7.7506e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  2.0000000000000001e-01,  0.0000000000000000e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  2.0699999999999999e-01,  0.0000000000000000e+00,  1.3661282491297362e+00
     1,  2.5447e+01,  1.4999999999999999e-01,  0.0000000000000000e+00,  2.0000000000000001e-01,  0.0000000000000000e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  2.0699999999999999e-01,  0.0000000000000000e+00,  1.3661282491297362e+00
     2,  2.5471e+01,  1.5000010000000000e-01,  0.0000000000000000e+00,  2.0000000000000001e-01,  0.0000000000000000e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  2.0699999999999999e-01,  0.0000000000000000e+00,  1.3661282135929920e+00
     3,  2.5475e+01,  1.4999999999999999e-01,  9.9999999999999995e-08,  2.0000000000000001e-01,  0.0000000000000000e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  2.0699999999999999e-01,  0.0000000000000000e+00,  1.3661278666346428e+00
     4,  2.5479e+01,  1.4999999999999999e-01,  0.0000000000000000e+00,  2.0000010000000001e-01,  0.0000000000000000e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  2.0699999999999999e-01,  0.0000000000000000e+00,  1.3661309163852411e+00
     5,  2.5484e+01,  1.4999999999999999e-01,  0.0000000000000000e+00,  2.0000000000000001e-01,  9.9999999999999995e-08,  1.4999999999999999e-01,  0.0000000000000000e+00,  2.0699999999999999e-01,  0.0000000000000000e+00,  1.3661278536462422e+00
     6,  2.5488e+01,  1.4999999999999999e-01,  0.0000000000000000e+00,  2.0000000000000001e-01,  0.0000000000000000e+00,  1.5000010000000000e-01,  0.0000000000000000e+00,  2.0699999999999999e-01,  0.0000000000000000e+00,  1.3661282143653215e+00
     7,  2.5521e+01,  1.4999999999999999e-01,  0.0000000000000000e+00,  2.0000000000000001e-01,  0.0000000000000000e+00,  1.4999999999999999e-01,  9.9999999999999995e-08,  2.0699999999999999e-01,  0.0000000000000000e+00,  1.3661278584482175e+00
     8,  2.5535e+01,  1.4999999999999999e-01,  0.0000000000000000e+00,  2.0000000000000001e-01,  0.0000000000000000e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  2.0700009999999999e-01,  0.0000000000000000e+00,  1.3661308315490386e+00
     9,  2.5539e+01,  1.4999999999999999e-01,  0.0000000000000000e+00,  2.0000000000000001e-01,  0.0000000000000000e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  2.0699999999999999e-01,  9.9999999999999995e-08,  1.3661278710269484e+00
    10,  4.3284e+01,  3.7402459553674849e-01, -1.0311281078839367e-01,  1.6607308275186855e-01,  7.0273832907518123e-03,  3.8036446105059929e-01,  9.6033698016894209e-02,  1.4852200696174672e-01, -1.0925990862221445e-02,  5.1101122778821608e+00
